MOD15A2H.A2000049.h30v12.006.2020041210828.Fpar_500m,MOD15A2H,A2000049,Lat-33.6152Lon150.7236Samp17Line17,2020041210828,F,F,F,F,F,F,F,F,F,F,F,F,F,0.13,0.15,0.15,0.25,F,F,F,F,F,F,F,F,F,F,F,F,0.13,0.15,F,F,F,F,F,F,F,F,F,F,F,0.06,0.06,0.15,0.13,0.13,F,F,F,0.36,F,F,F,F,F,F,F,0.06,0.15,0.23,0.17,0.25,F,0.2,0.36,0.24,0.24,F,F,F,F,F,F,F,F,F,F,0.25,F,0.15,0.29,0.29,0.31,F,F,F,F,F,F,F,0.08,F,F,F,0.25,0.25,0.25,0.29,F,F,F,F,F,F,F,F,F,F,F,0.25,0.25,0.25,0.37,0.42,0.42,0.28,F,F,F,F,F,F,F,F,F,F,0.25,0.35,0.44,0.42,F,F,F,F,F,F,F,F,F,F,0.22,0.23,0.35,0.35,0.35,F,F,F,F,F,F,F,F,F,F,F,0.22,0.22,0.35,0.35,0.35,F,F,0.4,0.4,0.36,F,F,F,F,F,F,0.21,0.35,0.35,0.34,F,F,F,0.47,0.4,F,F,0.38,0.47,0.47,F,0.21,F,0.25,0.28,0.28,F,F,0.44,0.47,0.44,0.31,0.31,F,F,0.47,F,0.22,0.25,F,F,F,0.28,0.29,0.29,0.32,0.35,0.31,0.31,F,F,F,F,F,0.22,0.23,F,F,0.29,0.29,0.29,F,F,F,F,F,F,F,F,F,F,F,F,F,0.29,0.25,0.25,0.39,F,F,F,F,F,0.13,F,F,0.28,0.28,F,0.45,0.45,0.25,0.36,0.36,0.39,F,F,F,0.13,0.13,0.25,0.25,0.25,F,F,F,0.45,0.58,0.59,0.59,F,F,F,F,F,F,F,F,F,F,F,F
MOD15A2H.A2002153.h30v12.006.2020071111452.Fpar_500m,MOD15A2H,A2002153,Lat-33.6152Lon150.7236Samp17Line17,2020071111452,F,0.9,0.9,0.9,0.74,0.72,0.6,0.67,0.73,0.72,0.71,0.72,0.72,0.7,0.64,0.56,0.48,F,0.89,0.78,0.76,0.76,0.78,0.73,0.73,0.7,0.7,0.69,0.68,0.8,0.78,0.69,0.83,F,F,0.88,0.77,0.75,0.78,0.74,0.74,0.76,0.76,0.67,0.66,0.8,0.7,0.67,0.74,F,0.65,F,0.73,0.76,0.71,0.71,0.71,0.74,0.78,0.67,0.71,0.64,0.68,0.56,0.52,0.6,0.51,0.41,0.73,0.72,0.65,0.67,0.65,0.76,0.68,0.67,0.68,0.56,0.44,0.72,0.57,0.37,0.57,0.57,F,0.67,0.68,0.63,0.65,0.76,0.71,0.59,0.56,0.51,0.63,0.57,0.56,0.49,0.47,F,F,F,0.67,0.63,0.65,0.7,0.76,0.59,0.61,0.56,0.45,0.56,0.62,0.56,0.45,0.46,0.42,F,F,0.64,0.63,0.72,0.59,0.55,0.59,F,F,0.49,0.6,0.61,0.55,0.46,0.45,F,F,0.53,0.75,0.64,0.47,0.52,F,0.54,0.61,0.55,0.52,0.61,0.55,0.56,0.53,0.5,0.56,0.62,0.68,0.6,0.64,0.45,F,0.56,0.4,0.55,0.52,0.61,0.63,0.65,0.53,0.55,0.51,0.62,0.65,0.5,0.57,F,F,0.27,0.44,0.55,0.55,0.62,0.66,0.63,0.48,0.55,0.66,0.79,0.55,0.51,0.55,F,0.26,F,0.44,0.42,0.46,0.42,0.48,0.59,0.48,0.56,0.53,0.72,0.61,F,0.44,F,0.25,0.41,F,F,F,0.48,0.47,0.48,0.52,0.42,0.53,0.52,0.39,0.43,F,F,F,0.39,0.27,0.28,0.39,0.45,0.47,0.48,0.55,0.53,0.56,0.62,0.39,F,F,F,F,F,0.46,0.47,0.38,0.45,0.54,0.55,0.48,0.45,0.54,0.55,0.62,F,0.42,F,F,0.43,0.42,F,0.39,0.44,0.62,0.6,0.55,0.46,0.46,0.65,0.59,0.51,0.41,0.49,0.43,0.4,0.46,0.49,F,0.6,0.59,0.51,0.48,0.46,0.48,0.55,0.38,0.38,0.54,0.62,F,0.78,0.47,0.52,0.61
MOD15A2H.A2002161.h30v12.006.2020071193813.Fpar_500m,MOD15A2H,A2002161,Lat-33.6152Lon150.7236Samp17Line17,2020071193813,0.84,0.84,0.9,0.88,0.77,0.69,0.54,0.65,0.72,0.7,0.72,0.73,0.73,0.76,0.74,0.73,0.63,F,0.9,0.8,0.74,0.75,0.75,0.74,0.73,0.7,0.68,0.66,0.68,0.73,0.88,0.77,0.78,F,0.83,0.89,0.73,0.71,0.72,0.74,0.73,0.72,0.74,0.66,0.68,0.82,0.75,0.69,0.75,F,0.61,0.83,0.76,0.76,0.72,0.69,0.7,0.73,0.72,0.64,0.69,0.63,0.65,0.68,0.49,0.52,0.49,0.45,0.66,0.66,0.7,0.65,0.66,0.72,0.74,0.63,0.69,0.51,0.52,0.62,0.47,0.46,0.47,0.53,F,0.6,0.68,0.63,0.64,0.69,0.7,0.57,0.57,0.45,0.62,0.63,0.53,0.45,0.59,F,F,F,0.62,0.65,0.66,0.69,0.7,0.6,0.68,0.55,0.45,0.57,0.57,0.49,0.46,0.46,0.47,F,F,0.64,0.61,0.68,0.57,0.64,0.53,F,F,0.5,0.61,0.59,0.46,0.51,0.45,F,F,0.45,0.73,0.64,0.51,0.68,F,0.55,0.59,0.55,0.5,0.54,0.55,0.54,0.53,0.48,0.51,0.65,0.74,0.47,0.6,0.49,F,0.51,0.47,0.56,0.56,0.64,0.62,0.54,0.57,0.47,0.53,0.62,0.68,0.46,0.56,F,F,0.27,0.43,0.52,0.51,0.58,0.66,0.63,0.47,0.48,0.73,0.72,0.61,0.49,0.46,F,0.19,F,0.47,0.39,0.38,0.48,0.48,0.58,0.39,0.47,0.49,0.77,0.6,F,0.47,F,0.28,0.37,F,F,F,0.41,0.45,0.47,0.53,0.39,0.49,0.51,0.35,0.41,F,F,F,0.28,0.28,0.29,0.48,0.47,0.43,0.45,0.53,0.47,0.53,0.54,0.47,F,F,F,F,F,0.31,0.42,0.39,0.45,0.57,0.62,0.47,0.45,0.61,0.54,0.58,F,0.45,F,F,0.43,0.42,F,0.4,0.45,0.6,0.62,0.59,0.44,0.5,0.61,0.55,0.46,0.46,0.48,0.43,0.4,0.48,0.43,F,0.58,0.6,0.44,0.45,0.42,0.44,0.44,0.37,0.31,0.47,0.7,0.75,0.7,0.46,0.53,0.6
MOD15A2H.A2002169.h30v12.006.2020072004536.Fpar_500m,MOD15A2H,A2002169,Lat-33.6152Lon150.7236Samp17Line17,2020072004536,0.9,0.9,0.89,0.88,0.7,0.68,0.55,0.67,0.71,0.71,0.71,0.73,0.77,0.77,0.63,0.63,0.63,0.9,0.9,0.72,0.72,0.68,0.68,0.72,0.69,0.68,0.71,0.73,0.77,0.88,0.82,0.76,0.67,F,0.9,0.9,0.72,0.7,0.72,0.67,0.65,0.68,0.7,0.68,0.66,0.81,0.7,0.76,0.78,F,0.64,0.89,0.72,0.71,0.7,0.67,0.65,0.67,0.71,0.68,0.66,0.62,0.71,0.7,0.6,0.61,0.45,0.52,0.68,0.65,0.68,0.62,0.63,0.67,0.69,0.66,0.66,0.56,0.53,0.61,0.51,0.4,0.56,0.52,F,0.65,0.68,0.62,0.62,0.66,0.69,0.57,0.54,0.56,0.66,0.57,0.63,0.45,0.56,F,F,F,0.65,0.6,0.6,0.66,0.66,0.57,0.6,0.62,0.57,0.5,0.56,0.51,0.5,0.55,0.46,F,F,0.57,0.58,0.66,0.57,0.6,0.58,F,F,0.45,0.64,0.6,0.49,0.49,0.45,F,F,0.46,0.68,0.66,0.56,0.56,F,0.55,0.57,0.6,0.6,0.6,0.6,0.59,0.52,0.56,0.57,0.72,0.66,0.61,0.56,0.45,F,0.49,0.49,0.54,0.6,0.62,0.63,0.59,0.58,0.58,0.53,0.66,0.68,0.57,0.56,F,F,0.49,0.54,0.59,0.57,0.58,0.63,0.63,0.58,0.58,0.69,0.78,0.62,0.6,0.53,F,0.41,F,0.49,0.48,0.57,0.57,0.57,0.54,0.51,0.55,0.56,0.82,0.7,F,0.55,F,0.4,0.46,F,F,F,0.5,0.5,0.54,0.55,0.53,0.54,0.56,0.49,0.51,F,F,F,0.4,0.42,0.4,0.45,0.5,0.5,0.54,0.53,0.53,0.54,0.52,0.49,F,F,F,F,F,0.43,0.49,0.45,0.48,0.56,0.59,0.53,0.54,0.59,0.57,0.61,F,0.52,F,F,0.42,0.41,F,0.52,0.48,0.56,0.61,0.61,0.57,0.55,0.59,0.55,0.55,0.52,0.53,0.52,0.52,0.43,0.51,F,0.61,0.61,0.58,0.57,0.55,0.55,0.59,0.46,0.47,0.49,0.81,0.8,0.8,0.56,0.56,0.57
MOD15A2H.A2002177.h30v12.006.2020072044032.Fpar_500m,MOD15A2H,A2002177,Lat-33.6152Lon150.7236Samp17Line17,2020072044032,0.9,0.9,0.9,0.9,0.66,0.67,0.57,0.64,0.7,0.69,0.71,0.7,0.69,0.72,0.74,0.69,0.47,F,0.88,0.79,0.75,0.73,0.71,0.72,0.69,0.66,0.66,0.68,0.66,0.83,0.8,0.69,0.7,F,F,0.88,0.75,0.71,0.74,0.72,0.71,0.73,0.72,0.69,0.66,0.83,0.68,0.64,0.62,F,0.6,F,0.75,0.71,0.74,0.68,0.69,0.71,0.73,0.68,0.65,0.56,0.62,0.64,0.53,0.59,0.45,0.45,0.74,0.71,0.68,0.64,0.64,0.72,0.7,0.64,0.65,0.45,0.46,0.51,0.56,0.4,0.4,0.54,F,0.61,0.67,0.57,0.62,0.66,0.67,0.56,0.51,0.44,0.58,0.57,0.5,0.5,0.52,F,F,F,0.62,0.59,0.57,0.64,0.67,0.57,0.65,0.54,0.44,0.45,0.55,0.49,0.46,0.47,0.43,F,F,0.6,0.58,0.64,0.54,0.57,0.51,F,F,0.45,0.62,0.59,0.47,0.43,0.41,F,F,0.45,0.71,0.64,0.62,0.55,F,0.48,0.56,0.58,0.6,0.55,0.47,0.48,0.48,0.48,0.48,0.63,0.63,0.61,0.52,0.45,F,0.47,0.43,0.54,0.54,0.6,0.64,0.57,0.48,0.47,0.5,0.57,0.68,0.52,0.52,F,F,0.35,0.43,0.53,0.48,0.58,0.61,0.63,0.48,0.46,0.69,0.77,0.6,0.59,0.52,F,0.26,F,0.51,0.45,0.39,0.4,0.51,0.57,0.41,0.47,0.61,0.61,0.68,F,0.49,F,0.28,0.44,F,F,F,0.44,0.44,0.45,0.53,0.42,0.52,0.52,0.41,0.41,F,F,F,0.35,0.27,0.39,0.44,0.46,0.45,0.45,0.54,0.52,0.52,0.52,0.44,F,F,F,F,F,0.44,0.43,0.4,0.44,0.56,0.61,0.48,0.48,0.54,0.55,0.54,F,0.48,F,F,0.41,0.41,F,0.41,0.51,0.6,0.61,0.56,0.48,0.54,0.61,0.53,0.48,0.47,0.5,0.5,0.47,0.52,0.51,F,0.61,0.6,0.5,0.47,0.46,0.45,0.51,0.47,0.43,0.5,0.79,0.76,0.76,0.52,0.52,0.54
MOD15A2H.A2002185.h30v12.006.2020072184033.Fpar_500m,MOD15A2H,A2002185,Lat-33.6152Lon150.7236Samp17Line17,2020072184033,F,0.9,0.9,0.88,0.68,0.66,0.54,0.59,0.67,0.65,0.7,0.67,0.68,0.73,0.65,0.53,0.47,0.9,0.9,0.77,0.72,0.71,0.68,0.68,0.67,0.67,0.67,0.67,0.68,0.73,0.78,0.64,0.62,F,0.9,0.86,0.73,0.67,0.72,0.71,0.71,0.7,0.69,0.68,0.63,0.71,0.6,0.53,0.68,F,0.5,0.86,0.75,0.68,0.72,0.65,0.66,0.7,0.71,0.63,0.64,0.55,0.65,0.63,0.51,0.54,0.44,0.36,0.69,0.68,0.65,0.59,0.6,0.68,0.68,0.63,0.62,0.45,0.44,0.47,0.5,0.44,0.54,0.5,F,0.62,0.67,0.57,0.56,0.66,0.64,0.5,0.45,0.45,0.52,0.46,0.52,0.45,0.49,F,F,F,0.61,0.56,0.57,0.61,0.62,0.5,0.6,0.45,0.45,0.53,0.46,0.46,0.42,0.44,0.41,F,F,0.57,0.5,0.65,0.49,0.48,0.47,F,F,0.44,0.59,0.59,0.39,0.38,0.35,F,F,0.53,0.67,0.64,0.55,0.52,F,0.44,0.53,0.55,0.53,0.53,0.5,0.44,0.45,0.43,0.48,0.58,0.63,0.46,0.57,0.45,F,0.45,0.46,0.53,0.53,0.56,0.6,0.5,0.48,0.46,0.49,0.69,0.6,0.54,0.47,F,F,0.38,0.46,0.46,0.45,0.57,0.61,0.54,0.48,0.44,0.59,0.76,0.65,0.57,0.49,F,0.27,F,0.47,0.46,0.45,0.45,0.46,0.54,0.4,0.51,0.68,0.71,0.59,F,0.43,F,0.28,0.46,F,F,F,0.41,0.41,0.43,0.46,0.39,0.52,0.45,0.37,0.49,F,F,F,0.39,0.33,0.29,0.41,0.41,0.43,0.43,0.51,0.52,0.5,0.52,0.47,F,F,F,F,F,0.45,0.44,0.39,0.39,0.52,0.55,0.48,0.43,0.55,0.49,0.53,F,0.44,F,F,0.43,0.37,F,0.4,0.47,0.62,0.56,0.53,0.46,0.51,0.59,0.54,0.46,0.43,0.5,0.5,0.43,0.4,0.43,F,0.54,0.56,0.48,0.48,0.48,0.48,0.54,0.4,0.4,0.5,0.77,0.75,0.73,0.51,0.53,0.52
MOD15A2H.A2002193.h30v12.006.2020077153910.Fpar_500m,MOD15A2H,A2002193,Lat-33.6152Lon150.7236Samp17Line17,2020077153910,0.83,0.9,0.89,0.9,0.64,0.62,0.48,0.57,0.65,0.62,0.64,0.68,0.64,0.64,0.6,0.57,0.54,0.9,0.88,0.72,0.69,0.64,0.64,0.68,0.65,0.62,0.63,0.62,0.66,0.73,0.69,0.63,0.54,F,0.9,0.88,0.72,0.66,0.67,0.66,0.68,0.66,0.68,0.68,0.62,0.62,0.63,0.63,0.61,F,0.54,0.88,0.71,0.69,0.67,0.66,0.62,0.67,0.7,0.62,0.61,0.51,0.57,0.53,0.48,0.42,0.3,0.44,0.66,0.69,0.65,0.57,0.57,0.66,0.62,0.62,0.61,0.45,0.45,0.48,0.46,0.46,0.47,0.46,F,0.63,0.62,0.56,0.55,0.61,0.62,0.49,0.45,0.45,0.45,0.45,0.48,0.43,0.47,F,F,F,0.61,0.55,0.55,0.57,0.57,0.46,0.53,0.44,0.39,0.45,0.48,0.37,0.36,0.35,0.41,F,F,0.46,0.52,0.55,0.45,0.46,0.53,F,F,0.45,0.56,0.55,0.36,0.36,0.3,F,F,0.42,0.63,0.55,0.54,0.52,F,0.41,0.53,0.53,0.53,0.55,0.43,0.37,0.37,0.37,0.46,0.66,0.66,0.49,0.44,0.37,F,0.36,0.44,0.52,0.52,0.54,0.59,0.47,0.43,0.42,0.41,0.5,0.58,0.46,0.42,F,F,0.33,0.47,0.51,0.45,0.47,0.52,0.54,0.43,0.44,0.63,0.69,0.62,0.47,0.45,F,0.31,F,0.48,0.41,0.47,0.41,0.45,0.52,0.41,0.46,0.62,0.73,0.54,F,0.45,F,0.37,0.41,F,F,F,0.4,0.38,0.41,0.44,0.44,0.49,0.45,0.41,0.42,F,F,F,0.35,0.42,0.31,0.36,0.37,0.44,0.41,0.45,0.46,0.49,0.47,0.41,F,F,F,F,F,0.42,0.42,0.37,0.37,0.52,0.53,0.47,0.44,0.5,0.46,0.52,F,0.4,F,F,0.33,0.33,F,0.37,0.47,0.55,0.54,0.53,0.51,0.51,0.52,0.5,0.5,0.46,0.46,0.47,0.37,0.4,0.46,F,0.56,0.55,0.47,0.51,0.49,0.49,0.54,0.41,0.45,0.46,0.77,0.77,0.77,0.47,0.53,0.44
MOD15A2H.A2002201.h30v12.006.2020073053221.Fpar_500m,MOD15A2H,A2002201,Lat-33.6152Lon150.7236Samp17Line17,2020073053221,0.83,0.9,0.9,0.89,0.69,0.62,0.45,0.56,0.62,0.61,0.64,0.62,0.64,0.6,0.56,0.52,0.48,0.9,0.89,0.71,0.7,0.63,0.6,0.6,0.62,0.61,0.6,0.67,0.64,0.71,0.72,0.57,0.54,F,0.88,0.87,0.68,0.63,0.63,0.66,0.65,0.65,0.65,0.61,0.62,0.64,0.64,0.57,0.66,F,0.47,0.85,0.68,0.67,0.67,0.61,0.62,0.66,0.65,0.64,0.61,0.46,0.53,0.52,0.45,0.45,0.37,0.35,0.68,0.62,0.6,0.56,0.56,0.66,0.65,0.61,0.53,0.44,0.39,0.42,0.37,0.37,0.47,0.5,F,0.63,0.63,0.51,0.54,0.58,0.61,0.46,0.46,0.42,0.45,0.45,0.48,0.43,0.47,F,F,F,0.61,0.48,0.49,0.56,0.56,0.46,0.52,0.42,0.34,0.45,0.45,0.3,0.36,0.38,0.38,F,F,0.45,0.46,0.55,0.46,0.47,0.43,F,F,0.45,0.56,0.54,0.35,0.35,0.34,F,F,0.38,0.64,0.57,0.41,0.46,F,0.36,0.52,0.53,0.51,0.53,0.44,0.41,0.35,0.36,0.38,0.58,0.7,0.43,0.48,0.35,F,0.41,0.4,0.52,0.48,0.53,0.54,0.45,0.39,0.45,0.47,0.49,0.62,0.46,0.44,F,F,0.27,0.43,0.44,0.45,0.53,0.54,0.54,0.45,0.41,0.48,0.8,0.65,0.53,0.5,F,0.3,F,0.46,0.4,0.43,0.41,0.4,0.5,0.41,0.49,0.75,0.68,0.73,F,0.44,F,0.3,0.37,F,F,F,0.37,0.37,0.4,0.44,0.41,0.47,0.53,0.35,0.38,F,F,F,0.34,0.31,0.27,0.34,0.34,0.37,0.41,0.45,0.44,0.5,0.46,0.46,F,F,F,F,F,0.41,0.44,0.37,0.36,0.51,0.52,0.42,0.41,0.53,0.44,0.51,F,0.38,F,F,0.33,0.38,F,0.41,0.41,0.53,0.6,0.52,0.43,0.46,0.54,0.49,0.41,0.44,0.51,0.42,0.36,0.38,0.46,F,0.53,0.53,0.45,0.45,0.43,0.43,0.54,0.35,0.3,0.47,0.73,0.73,0.73,0.5,0.52,0.44
MOD15A2H.A2002209.h30v12.006.2020077170521.Fpar_500m,MOD15A2H,A2002209,Lat-33.6152Lon150.7236Samp17Line17,2020077170521,0.88,0.9,0.9,0.88,0.63,0.61,0.49,0.56,0.61,0.6,0.62,0.62,0.62,0.55,0.47,0.45,0.47,0.9,0.89,0.73,0.7,0.62,0.56,0.6,0.61,0.61,0.62,0.62,0.62,0.7,0.66,0.54,0.51,F,0.89,0.88,0.7,0.62,0.63,0.61,0.62,0.61,0.62,0.61,0.57,0.56,0.45,0.54,0.65,F,0.52,0.88,0.67,0.69,0.69,0.62,0.62,0.63,0.62,0.62,0.59,0.47,0.54,0.54,0.47,0.44,0.3,0.43,0.7,0.63,0.62,0.57,0.54,0.62,0.62,0.59,0.59,0.45,0.4,0.38,0.41,0.42,0.41,0.46,F,0.63,0.62,0.55,0.52,0.55,0.56,0.49,0.45,0.4,0.44,0.45,0.46,0.36,0.46,F,F,F,0.6,0.48,0.5,0.55,0.56,0.45,0.48,0.43,0.39,0.45,0.46,0.33,0.35,0.36,0.36,F,F,0.46,0.48,0.55,0.45,0.46,0.44,F,F,0.45,0.52,0.55,0.43,0.34,0.3,F,F,0.52,0.65,0.6,0.53,0.37,F,0.36,0.45,0.51,0.52,0.5,0.46,0.34,0.36,0.36,0.48,0.57,0.6,0.4,0.43,0.35,F,0.36,0.44,0.53,0.49,0.5,0.52,0.45,0.43,0.44,0.53,0.57,0.59,0.52,0.43,F,F,0.33,0.43,0.44,0.44,0.53,0.54,0.52,0.45,0.48,0.58,0.75,0.71,0.69,0.47,F,0.26,F,0.43,0.43,0.41,0.41,0.39,0.52,0.4,0.47,0.54,0.72,0.65,F,0.43,F,0.29,0.43,F,F,F,0.35,0.39,0.39,0.45,0.4,0.47,0.45,0.35,0.43,F,F,F,0.39,0.42,0.37,0.33,0.36,0.38,0.41,0.44,0.46,0.45,0.5,0.35,F,F,F,F,F,0.41,0.44,0.36,0.36,0.49,0.52,0.43,0.42,0.53,0.45,0.51,F,0.43,F,F,0.33,0.33,F,0.41,0.35,0.52,0.58,0.52,0.47,0.45,0.53,0.53,0.44,0.45,0.5,0.47,0.4,0.39,0.42,F,0.54,0.52,0.47,0.47,0.45,0.45,0.51,0.38,0.4,0.46,0.74,0.75,0.75,0.46,0.51,0.43
MOD15A2H.A2002217.h30v12.006.2020073230817.Fpar_500m,MOD15A2H,A2002217,Lat-33.6152Lon150.7236Samp17Line17,2020073230817,0.83,0.89,0.89,0.9,0.61,0.52,0.45,0.49,0.55,0.54,0.6,0.58,0.77,0.58,0.49,0.46,0.48,0.9,0.9,0.68,0.61,0.61,0.54,0.57,0.55,0.55,0.56,0.63,0.77,0.62,0.62,0.53,0.5,F,0.88,0.88,0.63,0.61,0.61,0.57,0.6,0.6,0.63,0.63,0.77,0.61,0.54,0.49,0.58,F,0.47,0.84,0.66,0.62,0.61,0.56,0.56,0.62,0.63,0.74,0.56,0.46,0.52,0.51,0.38,0.35,0.29,0.39,0.66,0.62,0.54,0.54,0.49,0.58,0.59,0.53,0.53,0.44,0.39,0.4,0.35,0.37,0.42,0.45,F,0.57,0.57,0.48,0.48,0.53,0.54,0.45,0.44,0.3,0.42,0.45,0.45,0.43,0.46,F,F,F,0.53,0.48,0.47,0.53,0.53,0.45,0.45,0.43,0.35,0.45,0.4,0.35,0.38,0.38,0.35,F,F,0.46,0.46,0.53,0.45,0.41,0.45,F,F,0.35,0.48,0.46,0.34,0.34,0.31,F,F,0.35,0.62,0.53,0.38,0.38,F,0.35,0.43,0.47,0.47,0.44,0.4,0.41,0.38,0.35,0.39,0.62,0.63,0.38,0.44,0.3,F,0.37,0.35,0.44,0.44,0.51,0.43,0.41,0.43,0.46,0.46,0.57,0.72,0.52,0.4,F,F,0.27,0.38,0.43,0.41,0.51,0.51,0.51,0.45,0.48,0.6,0.83,0.67,0.58,0.38,F,0.31,F,0.38,0.4,0.4,0.35,0.37,0.43,0.41,0.4,0.62,0.85,0.7,F,0.38,F,0.31,0.38,F,F,F,0.35,0.35,0.37,0.43,0.4,0.45,0.49,0.33,0.33,F,F,F,0.26,0.33,0.26,0.33,0.34,0.34,0.41,0.43,0.43,0.41,0.43,0.4,F,F,F,F,F,0.36,0.39,0.34,0.36,0.51,0.4,0.41,0.41,0.45,0.43,0.44,F,0.37,F,F,0.33,0.31,F,0.38,0.36,0.51,0.51,0.48,0.4,0.41,0.47,0.44,0.38,0.37,0.41,0.4,0.36,0.37,0.43,F,0.49,0.46,0.45,0.44,0.4,0.42,0.43,0.39,0.34,0.41,0.72,0.74,0.72,0.41,0.43,0.42
MOD15A2H.A2002225.h30v12.006.2020074192547.Fpar_500m,MOD15A2H,A2002225,Lat-33.6152Lon150.7236Samp17Line17,2020074192547,0.84,0.84,0.88,0.88,0.68,0.55,0.45,0.53,0.59,0.58,0.62,0.62,0.6,0.55,0.48,0.46,0.45,0.81,0.88,0.69,0.66,0.62,0.55,0.61,0.58,0.58,0.61,0.61,0.62,0.61,0.53,0.5,0.52,F,0.88,0.86,0.67,0.62,0.62,0.62,0.61,0.62,0.62,0.6,0.61,0.59,0.45,0.49,0.6,F,0.49,0.86,0.68,0.66,0.65,0.62,0.58,0.62,0.63,0.61,0.57,0.48,0.51,0.53,0.43,0.44,0.37,0.4,0.72,0.65,0.63,0.55,0.55,0.62,0.63,0.6,0.57,0.42,0.39,0.44,0.31,0.34,0.38,0.48,F,0.62,0.62,0.55,0.52,0.59,0.59,0.45,0.41,0.41,0.45,0.45,0.41,0.34,0.38,F,F,F,0.55,0.48,0.46,0.55,0.56,0.45,0.51,0.43,0.37,0.45,0.42,0.3,0.37,0.35,0.36,F,F,0.46,0.5,0.59,0.45,0.44,0.44,F,F,0.43,0.52,0.53,0.35,0.36,0.3,F,F,0.46,0.64,0.53,0.38,0.49,F,0.35,0.51,0.51,0.49,0.53,0.36,0.36,0.38,0.42,0.46,0.56,0.62,0.51,0.36,0.36,F,0.35,0.37,0.49,0.49,0.51,0.52,0.47,0.47,0.45,0.46,0.56,0.62,0.51,0.4,F,F,0.26,0.44,0.46,0.4,0.53,0.53,0.5,0.46,0.44,0.75,0.75,0.78,0.64,0.43,F,0.32,F,0.44,0.4,0.4,0.4,0.37,0.5,0.41,0.45,0.76,0.71,0.54,F,0.41,F,0.32,0.4,F,F,F,0.4,0.37,0.41,0.43,0.4,0.46,0.57,0.4,0.38,F,F,F,0.33,0.28,0.38,0.34,0.36,0.37,0.37,0.45,0.45,0.45,0.43,0.4,F,F,F,F,F,0.36,0.44,0.34,0.36,0.52,0.54,0.41,0.41,0.52,0.45,0.52,F,0.35,F,F,0.31,0.31,F,0.36,0.44,0.54,0.54,0.52,0.45,0.45,0.53,0.45,0.44,0.43,0.47,0.43,0.43,0.41,0.42,F,0.52,0.54,0.45,0.45,0.42,0.47,0.53,0.4,0.37,0.47,0.74,0.75,0.75,0.46,0.49,0.44
MOD15A2H.A2002233.h30v12.006.2020075020623.Fpar_500m,MOD15A2H,A2002233,Lat-33.6152Lon150.7236Samp17Line17,2020075020623,0.83,0.84,0.85,0.86,0.59,0.55,0.39,0.49,0.59,0.53,0.57,0.57,0.53,0.47,0.44,0.45,0.41,0.81,0.87,0.66,0.64,0.55,0.53,0.6,0.57,0.55,0.56,0.57,0.57,0.6,0.57,0.48,0.5,F,0.85,0.84,0.67,0.57,0.63,0.63,0.58,0.59,0.56,0.59,0.54,0.53,0.45,0.42,0.63,F,0.38,0.86,0.67,0.63,0.63,0.55,0.58,0.59,0.58,0.55,0.54,0.46,0.46,0.54,0.46,0.42,0.31,0.34,0.64,0.6,0.61,0.5,0.5,0.59,0.56,0.56,0.48,0.39,0.35,0.27,0.31,0.23,0.35,0.39,F,0.6,0.59,0.5,0.47,0.52,0.52,0.42,0.38,0.35,0.43,0.43,0.43,0.28,0.35,F,F,F,0.54,0.46,0.44,0.53,0.53,0.42,0.49,0.36,0.32,0.36,0.36,0.34,0.36,0.33,0.36,F,F,0.47,0.48,0.51,0.4,0.46,0.32,F,F,0.34,0.47,0.47,0.29,0.3,0.32,F,F,0.32,0.56,0.51,0.42,0.35,F,0.36,0.47,0.48,0.48,0.46,0.37,0.36,0.39,0.36,0.41,0.46,0.55,0.44,0.4,0.36,F,0.29,0.37,0.44,0.46,0.49,0.49,0.39,0.39,0.4,0.47,0.51,0.55,0.41,0.36,F,F,0.22,0.33,0.38,0.36,0.43,0.46,0.49,0.45,0.38,0.73,0.76,0.52,0.51,0.41,F,0.17,F,0.38,0.35,0.3,0.31,0.38,0.47,0.35,0.38,0.41,0.45,0.69,F,0.34,F,0.23,0.34,F,F,F,0.29,0.34,0.35,0.42,0.34,0.44,0.45,0.29,0.26,F,F,F,0.27,0.2,0.24,0.37,0.36,0.36,0.37,0.45,0.44,0.44,0.39,0.34,F,F,F,F,F,0.39,0.29,0.29,0.32,0.42,0.5,0.39,0.37,0.45,0.43,0.44,F,0.37,F,F,0.34,0.3,F,0.29,0.37,0.52,0.47,0.49,0.35,0.38,0.49,0.46,0.4,0.32,0.41,0.4,0.37,0.42,0.36,F,0.5,0.52,0.37,0.36,0.34,0.35,0.41,0.25,0.29,0.35,0.65,0.68,0.67,0.42,0.32,0.33
